name,description,longitude,latitude,country
Robinsons' Pot,,-2.15645,54.131,North Yorkshire
Bown Scar,,-2.1258,54.14546,North Yorkshire
Scoska Cave,,-2.13123,54.14762,North Yorkshire
Spittle Croft Cave,,-2.15368,54.1634,North Yorkshire
Out Sleets Beck Pot,,-2.20359,54.15886,North Yorkshire
Snatcher Pot,,-2.20806,54.16391,North Yorkshire
Swan Dike Pot,,-2.19998,54.16516,North Yorkshire
Mongo Gill (South Entrance),,-1.85492,54.06458,North Yorkshire
Mongo Gill (North Shaft),,-1.85443,54.06503,North Yorkshire
Stump Cross Caverns,,-1.86532,54.06741,North Yorkshire
Manchester Hole,,-1.84821,54.18326,North Yorkshire
Goyden Pot,,-1.84861,54.18074,North Yorkshire
Limley Pot,,-1.84757,54.17967,North Yorkshire
Frog Pot,,-1.8461,54.17645,North Yorkshire
Bax Pot,,-1.8485,54.18119,North Yorkshire
Thrope Edge Pot,,-1.84598,54.1742,North Yorkshire
Church Pot,,-1.84891,54.17992,North Yorkshire
Nidd Head Rising 1,,-1.84071,54.15425,North Yorkshire
Tom Taylors Cave,,-1.85786,54.15749,North Yorkshire
Eglins Hole,,-1.85833,54.15759,North Yorkshire
Scrafton Pot,,-1.8887,54.24848,North Yorkshire
Fossdale Beck Cave,,-2.21153,54.3553,North Yorkshire
Keld Heads Cave,,-1.88543,54.32038,North Yorkshire
Thackthwaite Beck Cave,,-2.02072,54.31594,North Yorkshire
Whirley Gill Pot,,-2.0438,54.3375,North Yorkshire
Cliffe Force Cave,,-2.19309,54.35982,North Yorkshire
Crackpot Cave,,-2.05613,54.35457,North Yorkshire
Devis Hole Mine,,-1.92226,54.35995,North Yorkshire
Windegg Mine Caverns,,-1.98223,54.44266,North Yorkshire
Marble Sink,,-2.36997,54.15202,North Yorkshire
Jockey Hole,,-2.36776,54.15192,North Yorkshire
VJ Pot,,-2.37017,54.1518,North Yorkshire
Rift Pot (Allotment),,-2.36759,54.15139,North Yorkshire
Little Rift,,-2.36773,54.15176,North Yorkshire
Long Kin East Cave,,-2.36523,54.15295,North Yorkshire
Juniper Gulf,,-2.36022,54.1553,North Yorkshire
Nick Pot,,-2.35335,54.15901,North Yorkshire
Hangmans Hole,,-2.35294,54.15898,North Yorkshire
Sulber Pot,,-2.35139,54.15884,North Yorkshire
Marble Pot,,-2.37088,54.15221,North Yorkshire
Lizard Pot,,-2.36621,54.14943,North Yorkshire
Austwick Beck Head,,-2.34387,54.14222,North Yorkshire
Grey Wife Hole,,-2.39817,54.14504,North Yorkshire
Long Kin West,,-2.41325,54.14697,North Yorkshire
Newby Moss Pot,,-2.40245,54.1459,North Yorkshire
Pillar Holse,,-2.41092,54.14663,North Yorkshire
Boggarts Roaring Holes,,-2.41714,54.15074,North Yorkshire
Quaking Pot,,-2.41417,54.16125,North Yorkshire
Skirwith Cave,,-2.44628,54.15878,North Yorkshire
Tatham Wife Hole,,-2.41233,54.16749,North Yorkshire
Trapdoor Pot,,-2.41908,54.14963,North Yorkshire
White Scar Cave,,-2.44134,54.16564,North Yorkshire
Jib Tunnel (Dihedral),,-2.38271,54.14963,North Yorkshire
Corkys Pot,,-2.38018,54.14929,North Yorkshire
Car Pot,,-2.37592,54.14763,North Yorkshire
Christmas Pot,,-2.37308,54.14941,North Yorkshire
Jean Pot,,-2.37488,54.148,North Yorkshire
P5 Pot,,-2.37141,54.14922,North Yorkshire
Pay Sank,,-2.37155,54.14936,North Yorkshire
Grange Rigg Pot,,-2.37674,54.14951,North Yorkshire
Hurnel Moss Pot,,-2.39181,54.14684,North Yorkshire
Alum Pot,"Description générale Alum Pot (NW and SE Routes):

NW route: 
The entirety of the shaft is descended with one hang, commencing at the north-west (NW) end (nearest to Long Churn caves).

SE Route:
Belay the rope to a tree a few metres from the ruined stile on the SE side of the shaft (as seen on approach from the cars). 
Then traverse along the edge to another tree overhanging the shaft which is the take-off point. 
A rebelay several metres down provides a clearer descent. 
From the landing point, a few direct routes of descent of the second part of the shaft are possible, or you can traverse along to reach the bottom of a huge sloping slab (The Bridge) to intercept the end of the traverse route coming from Dollytubs (on left at top of slab).

ALL ROUTES: 
At the bottom of all routes (SE, NW or from Dolly Tubs), a further downward pitch reaches a large passage which can be followed downstream. 
A final awkward climb down a waterfall can be bypassed via a slot down through blocks on the left leading into a descending rift. 
At the bottom, the water of Diccan Pot crashes down and flows straight down into a sump.
This is a draughty and impressive place",-2.34638,54.17543,North Yorkshire
Lower Long Churn (1),,-2.34845,54.17638,North Yorkshire
November Hole,,-2.35171,54.17556,North Yorkshire
Wilsons Cave (1),,-2.34994,54.17675,North Yorkshire
Diccan Pot,,-2.34752,54.17637,North Yorkshire
Borrins Moor (Main Entrance),,-2.35377,54.17421,North Yorkshire
Dale Head Pot,,-2.24508,54.1416,North Yorkshire
Gingling Hole,,-2.22314,54.12726,North Yorkshire
Gingling Sink(wet),,-2.22252,54.12752,North Yorkshire
Washfold Pot,,-2.34708,54.18424,North Yorkshire
Hammer Pot,,-2.22817,54.12301,North Yorkshire
Fell Close South (1),,-2.35092,54.16833,North Yorkshire
Magnetometer Pot,,-2.23174,54.12296,North Yorkshire
Strangle Pot,,-2.2154,54.1177,North Yorkshire
Foul Pot,,-2.23102,54.12651,North Yorkshire
Ringle Mill Cave,,-2.31736,54.15944,North Yorkshire
High Hull Pot,,-2.26742,54.16652,North Yorkshire
Hull Pot,,-2.27103,54.1667,North Yorkshire
Barghs Cave,,-2.38272,54.1863,North Yorkshire
Hardrawkin Pot,,-2.39223,54.18602,North Yorkshire
Little Hull Pot,,-2.27457,54.16518,North Yorkshire
Lower Sunset,,-2.39516,54.18022,North Yorkshire
Penyghent Pot,,-2.26361,54.15528,North Yorkshire
Sell Gill(wet),,-2.28927,54.16475,North Yorkshire
Sell Gill(dry),,-2.28985,54.16455,North Yorkshire
Dub Cote Cave,,-2.27768,54.14243,North Yorkshire
Douk Gill Cave,,-2.28222,54.1484,North Yorkshire
Losers Pot,,-2.26565,54.1579,North Yorkshire
Giggel Rav Pot,,-2.26296,54.14509,North Yorkshire
Brackenbottom Pot,,-2.26416,54.14617,North Yorkshire
Ling Gill 7,,-2.30586,54.20249,North Yorkshire
Exhumation Hole,,-2.30566,54.20186,North Yorkshire
Coppice Cave,,-2.30422,54.2001,North Yorkshire
Browgill,,-2.3077,54.19493,North Yorkshire
Calf Holes,,-2.30195,54.19363,North Yorkshire
Coppy Gill Exit,,-2.30343,54.19006,North Yorkshire
Birkwith Cave,,-2.30226,54.18794,North Yorkshire
Dismal Hill,,-2.29943,54.1867,North Yorkshire
Dismal Hill (new ent),,-2.29985,54.18647,North Yorkshire
Old Ing,,-2.29673,54.18699,North Yorkshire
Red Moss Pot (old ent),,-2.29246,54.17731,North Yorkshire
Canal Cavern,,-2.2929,54.177,North Yorkshire
North Fair Bottom Cave,,-2.30409,54.20039,North Yorkshire
Ribblehead Cave 1,,-2.34372,54.21313,North Yorkshire
Runscar Cave (1),,-2.36089,54.21309,North Yorkshire
Thistle Cave (1),,-2.36243,54.21328,North Yorkshire
Scar Top Cave (old ent),,-2.36085,54.21363,North Yorkshire
Middle Scar Cave,,-2.35386,54.21227,North Yorkshire
Middle Scar Hole 1,,-2.35399,54.21214,North Yorkshire
Conduit Spring Cave,,-2.35568,54.21064,North Yorkshire
Roger Kirk Cave (1),,-2.36683,54.21349,North Yorkshire
Roger Kirk West Sink,,-2.36783,54.21357,North Yorkshire
Katnot Cave,,-2.33885,54.21249,North Yorkshire
Meregill Hole,,-2.39942,54.17667,North Yorkshire
Middle Washfold Caves,,-2.3886,54.18334,North Yorkshire
Bedstead Pot,,-2.47004,54.19307,North Yorkshire
P101b,,-2.4011,54.17544,North Yorkshire
Bull Pot,,-2.45817,54.20362,North Yorkshire
Roaring Hole,,-2.39615,54.1823,North Yorkshire
Craftmans Pot,,-2.4579,54.20463,North Yorkshire
Southerscales Pot,,-2.38491,54.18659,North Yorkshire
Jingling Cave 1,,-2.46427,54.19892,North Yorkshire
Jingling Pot,,-2.4628,54.20027,North Yorkshire
Meregill Skit,,-2.4085,54.18397,North Yorkshire
Aquamole Pot,,-2.46248,54.19993,North Yorkshire
Chapmans Rising,,-2.40953,54.18426,North Yorkshire
Rowten Cave 2,,-2.46572,54.19698,North Yorkshire
Joint Hole,,-2.40767,54.18483,North Yorkshire
Midge Hole,,-2.40385,54.18793,North Yorkshire
KY Cave,,-2.40394,54.18782,North Yorkshire
Rowten Pot 2,,-2.46405,54.19717,North Yorkshire
Hurtle Pot,,-2.40346,54.19057,North Yorkshire
Simpsons Cave 2,,-2.46842,54.1944,North Yorkshire
Jingle Pot,,-2.40211,54.19203,North Yorkshire
Weathercote Cave,,-2.40094,54.19316,North Yorkshire
Slanting Cave,,-2.45339,54.20832,North Yorkshire
Gods Bridge,,-2.4111,54.1829,North Yorkshire
Swinsto South,,-2.47181,54.19238,North Yorkshire
Blake Bank Moss Cave,,-2.42186,54.19657,North Yorkshire
Valley Entrance,,-2.46272,54.19157,North Yorkshire
Browside Cave,,-2.38767,54.21421,North Yorkshire
Yordas Pot,,-2.45432,54.20719,North Yorkshire
Bruntscar Cave,,-2.40313,54.20567,North Yorkshire
Yordas (Middle entrance),,-2.45404,54.20723,North Yorkshire
Daimler Hole,,-2.39828,54.21077,North Yorkshire
Yordas Cave,,-2.45275,54.20681,North Yorkshire
Gatekirk Cave,,-2.39153,54.20417,North Yorkshire
Shout Pot,,-2.4588,54.20317,North Yorkshire
Malham Cove Rising,,-2.15821,54.07289,North Yorkshire
Cow Pot (Kingsdale),,-2.45797,54.20353,North Yorkshire
Turbary Pot,,-2.46883,54.19237,North Yorkshire
Green Laids Pot,,-2.46162,54.201,North Yorkshire
Apprentice Pot,,-2.45758,54.2049,North Yorkshire
Primrose Pot,,-2.45778,54.2041,North Yorkshire
P207,,-2.46947,54.19203,North Yorkshire
Dale Barn Cave,,-2.4444,54.17495,North Yorkshire
Dry Gill Cave,,-2.4321,54.17863,North Yorkshire
Illusion,,-2.46102,54.18118,North Yorkshire
Crescent Pot,,-2.45287,54.1843,North Yorkshire
Broken Finger Pot,,-2.44513,54.19074,North Yorkshire
King Pot,,-2.4484,54.1916,North Yorkshire
Growling Hole,,-2.44211,54.19239,North Yorkshire
Vesper Pot,,-2.44292,54.1934,North Yorkshire
Spectacle Pot,,-2.44461,54.19481,North Yorkshire
Valley Exit,,-2.45253,54.19872,North Yorkshire
Brown Hill Pot,,-2.44109,54.20115,North Yorkshire
Floyds Entrance,,-2.44085,54.20063,North Yorkshire
Heron Pot Upper,,-2.43927,54.2038,North Yorkshire
Gaze Gill Cave,,-2.43902,54.20857,North Yorkshire
Batty Cave,,-2.4512,54.21047,North Yorkshire
Low Douk Cave,,-2.49551,54.18582,North Yorkshire
Rift Pot (Marble Steps),,-2.49306,54.18684,North Yorkshire
Marble Steps Pot,,-2.49165,54.18831,North Yorkshire
Large Pot,,-2.48841,54.18645,North Yorkshire
Little Pot,,-2.4883,54.18643,North Yorkshire
The Mohole,,-2.48209,54.18776,North Yorkshire
Kail Pot,,-2.48028,54.18674,North Yorkshire
Notts Pot,,-2.50574,54.1949,Lancashire
Dead Dobbin,,-2.51595,54.19738,Lancashire
Notts 2,,-2.51244,54.19938,Lancashire
Boxhead Pot,,-2.50586,54.19992,Lancashire
Lost Pot,,-2.50599,54.20044,Lancashire
Lost Johns,,-2.50624,54.20249,Lancashire
Rift Entrance,,-2.50693,54.20446,Lancashire
Short Drop,,-2.50698,54.20507,Lancashire
Deaths Head,,-2.51066,54.20708,Lancashire
Big Meanie,,-2.51246,54.20719,Lancashire
Gavel Pot,,-2.51332,54.20614,Lancashire
Eye Holes,,-2.51008,54.20736,Lancashire
Bruntskill Pot,,-2.51141,54.209,Lancashire
Long Drop,,-2.50779,54.20732,Lancashire
Rumbling Hole,,-2.50561,54.20665,Lancashire
Rumbling Beck Cave,,-2.50487,54.20683,Lancashire
Coal Hole Entrance,,-2.50486,54.2061,Lancashire
Rough Pot,,-2.50583,54.20117,Lancashire
Ayegill Caverns,,-2.51775,54.23107,Westmorland and Furness
The Borehole,,-2.49679,54.22097,Lancashire
Boundary Pot,,-2.49369,54.22241,Lancashire
Bull Pot of the Witches,,-2.5195,54.2264,Westmorland and Furness
Bye George,,-2.50579,54.21136,Lancashire
Casterton Pot,,-2.51871,54.22923,Westmorland and Furness
Corner Sink,,-2.49859,54.22047,Westmorland and Furness
County Pot,,-2.49942,54.21982,Westmorland and Furness
Shannon Cave," c.1700m long cave system feeding Shannon Pot, the source of the R. Shannon",-7.85596,54.2405,County Fermanagh
Polliniska, 60m deep pothole,-7.74863,54.2095,County Fermanagh
Marble Arch Caves,,-7.814313888888889,54.258427777777776,County Fermanagh
Bakers Pit,,-3.7733,50.4831,Devon
Cox's Cave,,-2.7688888888888887,51.281666666666666,Somerset
Eastwater Cavern,,-2.66223,51.2551,Somerset
Clapham Beck Head,,-2.3770353198051453,54.135032330601476,North Yorkshire
Beck Head Stream Cave,,-2.3764264583587646,54.13560904670854,North Yorkshire
Clapham Bottoms Pot,,-2.3714590072631836,54.14398702455689,North Yorkshire
Hensler's Pot,,-2.3798489570617676,54.14787689716088,North Yorkshire
Disappointement Pot,,-2.383507490158081,54.14857439625691,North Yorkshire
Gaping Gill [Gaping Ghyll],,-2.3825794458389282,54.14946353347236,North Yorkshire
Upper Flood Swallet,,-2.710277777777778,51.29888888888889,Somerset
Titan cave,,-1.7932916666666665,53.33335833333334,Derbyshire
Thrupe Lane Swallet,,-2.5688888888888886,51.21027777777779,Somerset
Hunter's Hole,,-2.65,51.246,Somerset
Sidcot Swallet,,-2.754166666666667,51.321111111111115,North Somerset
Shatter Cave,,-2.4922222222222223,51.225833333333334,Somerset
Pridhamsleigh Cavern,,-3.765,50.498,Devon
Mossdale Caverns,,-1.9766666666666668,54.12361111111111,North Yorkshire
Kents Cavern,,-3.50338,50.46701,Torbay
Eden Sike Cave,,-2.33704,54.36804,Cumbria
Gloucester Hole,,-2.6684,51.646,Gloucestershire
Iron Kiln Hole,,-2.512437254190445,54.19940008329199,Lancashire
Coalpithole Rake No.10,,-1.86333,53.32763,Derbyshire
Christmas Hole,,-1.83629,53.33119,Derbyshire
Christmas Swallet [P9],,-1.83362,53.33638,Derbyshire
Chrome Hill Cave,,-1.89068,53.20271,Derbyshire
Chrome Hill Rift,,-1.89367,53.20361,Derbyshire
Churn Holes,,-1.84352,53.24365,Derbyshire
Conies Dale Pot,,-1.80479,53.32395,Derbyshire
Convalescence Pot,,-1.80734,53.09204,Staffordshire
Cotton Cave,,-1.81167,53.1271,Staffordshire
Cove Hole,,-1.82734,53.33616,Derbyshire
Cremetorium Pot,,-1.77725,53.32307,Derbyshire
Critchlow Cave,,-1.74548,53.19019,Derbyshire
Crock Pot,,-1.70362,53.28997,Derbyshire
Crowdecote Cave,,-1.83837,53.17838,Derbyshire
Cunningdale Swallet,,-1.89203,53.26114,Derbyshire
Dafar Pot,,-1.85669,53.10133,Staffordshire
Dead Dogs Hole,,-1.74263,53.27518,Derbyshire
Deadmans Clough Swallet,,-1.73727,53.31753,Derbyshire
Deepdale Cave,,-1.85733,53.23854,Derbyshire
Deepdale Resurgence,,-1.85613,53.23863,Derbyshire
Delph Hole,,-1.67676,53.28009,Derbyshire
Didos Cave,,-1.55924,53.11295,Derbyshire
Dielasma Cave,,-1.79984,53.34534,Derbyshire
Dog Holes Resurgence,,-1.94006,53.25166,Derbyshire
Dove Holes,,-1.78872,53.0789,Derbyshire
Dove Holes Swallet,,-1.88759,53.29819,Derbyshire
Dowel Cave,,-1.88918,53.20541,Derbyshire
Dowal Dale Side Pot,,-1.88917,53.2072,Derbyshire
Dowel Resurgence,,-1.88836,53.20459,Derbyshire
Dowse Hole,,-1.72964,53.2956,Derbyshire
Dumble Hole Swallet,,-1.47764,53.16521,Derbyshire
Dungeon Cave,,-1.84434,53.18468,Derbyshire
Egnaro Aven,,-1.78903,53.33593,Derbyshire
Eldon Hole,,-1.82713,53.32485,Derbyshire
Etches Cave,,-1.89067,53.20541,Derbyshire
Eyam Dale House Cave,,-1.67206,53.28289,Derbyshire
Farnsley Lane Swallet,,-1.69074,53.27589,Derbyshire
Fatigue Pot,,-1.66139,53.27015,Derbyshire
Field Shaft,,-1.78106,53.34061,Derbyshire
Flow Guage Rising,,-1.7929,53.05379,Staffordshire
Fox Hole Cave,,-1.85179,53.19368,Derbyshire
Frankith Rocks Cave,,-1.80466,53.12287,Derbyshire
Gateham Swallet,,-1.8267,53.10375,Staffordshire
Gautries Hill Pot,,-1.85008,53.32687,Derbyshire
P3 [Gauries Hole],,-1.84932,53.32988,Derbyshire
Giants Cave Resurgence,,-1.8259,53.34032,Derbyshire
Giants Cave Sink,,-1.82597,53.34086,Derbyshire
Glutton Dale Cave,,-1.87271,53.20269,Derbyshire
Golf Ball Resurgence,,-1.93101,53.25667,Derbyshire
Goosehill Cave,,-1.77978,53.3409,Derbyshire
Goose Hill Cleft,,-1.77955,53.34013,Derbyshire
The Great Cave,,-1.77807,53.33873,Derbyshire
Green Cowden Chert Quarry Cave,,-1.7016,53.20699,Derbyshire
Green Lane Pot,,-1.92653,53.25038,Derbyshire
Grinlow Rock Shelter,,-1.92355,53.24229,Derbyshire
Hale Bopp Pot,,-1.69039,53.28017,Derbyshire
Hangover Hole,,-1.69111,53.28016,Derbyshire
Hartle Dale Fissure Cave,,-1.75509,53.31959,Derbyshire
Hazlebadge Cave,,-1.74452,53.31835,Derbyshire
Hell Holes Sinks,,-1.85927,53.06613,Staffordshire
Hermits Cave,,-1.66198,53.15734,Derbyshire
Hiatt Cave,,-1.79589,53.33944,Derbyshire
High Edge Pot,,-1.90861,53.2198,Derbyshire
Hilltop Shaft,,-1.85283,53.32672,Derbyshire
Hobbit Hole,,-1.68898,53.28023,Derbyshire
Hoftens Cross Swallet,,-1.89559,53.02832,Staffordshire
Horseshoe Cave,,-1.79486,53.34106,Derbyshire
Hunger Hill Swallet,,-1.68709,53.2891,Derbyshire
Hurdlow Steel Pipe,,-1.78972,53.33651,Derbyshire
Ilam Rock Cave,,-1.7898,53.07502,Staffordshire
Ivy Green Cave,,-1.66798,53.27868,Derbyshire
Jakes Hole,,-1.9348,53.2342,Derbyshire
Keyhole Cave,,-1.66777,53.27857,Derbyshire
Kittycross Cavern,,-1.77479,53.3194,Derbyshire
Lathkill Head Cave Resurgence,,-1.74585,53.18974,Derbyshire
Lathkill Head Cave Top,,-1.75124,53.19038,Derbyshire
Lathkill Resurgence Cave,,-1.73081,53.18814,Derbyshire
Layby Pot,,-1.69624,53.28057,Derbyshire
Layby Shelter,,-1.69333,53.28062,Derbyshire
Leap Edge Swallet,,-1.92807,53.22476,Derbyshire
Little Bull Pit,,-1.84564,53.33174,Derbyshire
Little Monks Hole,,-1.80203,53.27316,Derbyshire
Long Dale Swallet 1,,-1.80993,53.18103,Derbyshire
Lovers Leap Cave,,-1.78538,53.06341,Derbyshire
Lower Calesdale Cave,,-1.74159,53.18547,Derbyshire
Ludchurch Cavern N,,-2.02102,53.18833,Staffordshire
Luds Church Top Entrance,,-2.02013,53.18714,Staffordshire
Lumb Hole,,-1.74272,53.2549,Derbyshire
Lynx Cave,,-1.74371,53.18268,Derbyshire
Magpie Sough,,-1.7327,53.2231,Derbyshire
Major Sump,,-1.79751,53.33341,Derbyshire
Mam Tor Swallet,,-1.80848,53.34502,Derbyshire
Mandale Founder Shaft,,-1.71526,53.19392,Derbyshire
Mandale Incline,,-1.70691,53.19197,Derbyshire
Mandale Sough,,-1.70652,53.19173,Derbyshire
Meta Rift,,-1.7981,53.15135,Derbyshire
Middle Bank Cave,,-1.78566,53.33832,Derbyshire
Middle Bank Pot,,-1.78587,53.33817,Derbyshire
Monkey Rock Cave,,-1.67855,53.27978,Derbyshire
Mountbatten Pot,,-1.81383,53.33213,Derbyshire
Nail Pot,,-1.93404,53.2405,Derbyshire
Netherwater Swallet,,-1.74483,53.30856,Derbyshire
Nettle Pot,,-1.81336,53.33472,Derbyshire
Odin Cave,,-1.79988,53.34782,Derbyshire
Odin Sough Shaft 1,,-1.79748,53.34768,Derbyshire
Old Bills Swallet,,-1.93553,53.2414,Derbyshire
Old Moor Dig,,-1.78259,53.3266,Derbyshire
One Ash Cave,,-1.74386,53.18267,Derbyshire
One Ash Shelter,,-1.74249,53.18671,Derbyshire
Otter Hole Resurgence,,-1.93251,53.25668,Derbyshire
Outlands Head Cave,,-1.75225,53.32385,Derbyshire
Owl Hole,,-1.8953,53.21163,Derbyshire
Oxlow Cavern,,-1.81507,53.33643,Derbyshire
P0,,-1.86334,53.32673,Derbyshire
P2 [Sheepwash Cave],,-1.85027,53.32878,Derbyshire
P4,,-1.84891,53.33067,Derbyshire
P5,,-1.84695,53.33147,Derbyshire
P7,,-1.84365,53.33237,Derbyshire
P8,,-1.83944,53.3329,Derbyshire
Paracetam Ole,,-1.69051,53.2801,Derbyshire
Parsley Hay Cave,,-1.79655,53.16303,Derbyshire
Peasland Rock Shelter,,-1.78725,53.10899,Derbyshire
Peice End Swallet,,-1.7162,53.29209,Derbyshire
Perseverance Pot,,-1.93554,53.2396,Derbyshire
Pickering Tor Cave,,-1.78891,53.07511,Derbyshire
Pictorend Cave,,-1.74177,53.31844,Derbyshire
Pikers Pit,,-1.87268,53.21348,Derbyshire
Pilsbury Rock Shelter,,-1.8324,53.17568,Derbyshire
Pindale Cave,,-1.76503,53.33661,Derbyshire
Pindale Sough,,-1.75514,53.34399,Derbyshire
Placentrancea Pot,,-1.78727,53.15913,Derbyshire
Plantation Swallet,,-1.82298,53.10105,Staffordshire
Plunge Hole,,-1.93554,53.2387,Derbyshire
Pool Cave,,-1.85643,53.2389,Derbyshire
Pork Sandwich Shaft,,-1.63517,53.14443,Derbyshire
Quarters Farm Swallet,,-1.74181,53.3117,Derbyshire
Rake Shaft,,-1.84983,53.32581,Derbyshire
Redhurst Swallet,,-1.85704,53.0984,Staffordshire
Resurgence Swallet,,-1.92951,53.25919,Derbyshire
Revells Pipe Vein,,-1.73952,53.31843,Derbyshire
Reynards Cave,,-1.78475,53.06971,Derbyshire
Ribden Swallet 1,,-1.88872,53.02082,Staffordshire
Ricklow Cave,,-1.7552,53.19128,Derbyshire
Riverside Swallet,,-1.85654,53.1011,Staffordshire
Rock Cottage Shaft,,-1.66091,53.27723,Derbyshire
